# lon,lat decimated Natural Earth 110m coastline (public domain)
-163.713,-78.596
-163.106,-78.223
-161.245,-78.38
-160.246,-78.694
-159.482,-79.046
-161.128,-79.634
-162.44,-79.281
-163.027,-78.929
-163.713,-78.596
-6.198,53.868
-6.033,53.153
-6.789,52.26
-8.562,51.669
-9.977,51.82
-9.166,52.865
-9.689,53.881
-8.328,54.665
-7.572,55.132
-6.734,55.173
-5.662,54.555
-6.198,53.868
141.0,-2.6
142.735,-3.289
144.584,-3.861
145.273,-4.374
145.83,-4.876
147.648,-6.084
147.891,-6.614
146.971,-6.722
147.192,-7.388
148.085,-8.044
148.734,-9.105
149.267,-9.514
150.039,-9.684
150.802,-10.294
150.028,-10.652
148.923,-10.281
147.913,-10.13
147.135,-9.492
146.568,-8.943
146.048,-8.067
144.744,-7.63
143.897,-7.915
143.286,-8.245
143.414,-8.983
142.628,-9.327
141.034,-9.118
140.143,-8.297
139.128,-8.096
137.614,-8.412
138.039,-7.598
138.669,-7.32
138.408,-6.233
137.928,-5.393
135.989,-4.547
135.165,-4.463
133.663,-3.539
133.368,-4.025
132.757,-3.746
131.99,-2.821
133.067,-2.46
133.696,-2.215
132.232,-2.213
131.836,-1.617
130.943,-1.433
130.52,-0.938
131.868,-0.695
132.38,-0.37
133.986,-0.78
134.423,-2.769
135.458,-3.368
136.293,-2.307
137.441,-1.704
138.33,-1.703
139.185,-2.051
139.927,-2.409
141.0,-2.6
114.204,4.526
114.6,4.9
115.451,5.448
116.221,6.143
116.725,6.925
117.643,6.422
118.348,5.709
119.182,5.408
118.44,4.967
117.882,4.138
117.313,3.234
118.048,2.288
118.997,0.902
117.812,0.784
117.478,0.102
117.522,-0.804
116.56,-1.488
116.534,-2.484
116.148,-4.013
114.865,-4.107
114.469,-3.496
113.756,-3.439
113.257,-3.119
112.068,-3.478
111.703,-2.994
110.224,-2.934
110.071,-1.593
109.572,-1.315
109.092,-0.46
108.953,0.415
109.069,1.342
109.663,2.006
110.396,1.664
111.169,1.851
111.37,2.697
112.996,3.102
113.713,3.894
114.204,4.526
-93.613,74.98
-94.157,74.592
-95.609,74.667
-96.821,74.928
-96.289,75.378
-94.851,75.647
-93.978,75.296
-93.84,77.52
-96.17,77.555
-94.423,77.82
-93.721,77.634
-96.754,78.766
-95.559,78.418
-97.31,77.851
-98.124,78.083
-98.553,78.458
-97.337,78.832
-88.15,74.392
-89.765,74.516
-92.422,74.838
-92.768,75.387
-93.894,76.319
-95.962,76.441
-97.121,76.751
-96.745,77.161
-94.684,77.098
-93.574,76.776
-91.605,76.779
-90.742,76.45
-89.822,75.848
-89.187,75.61
-87.838,75.566
-86.379,75.482
-84.79,75.699
-82.753,75.784
-81.129,75.714
-80.058,75.337
-80.458,74.657
-81.949,74.442
-83.229,74.564
-86.097,74.41
-88.15,74.392
-111.264,78.153
-109.854,77.996
-112.051,77.409
-113.534,77.732
-112.725,78.051
-111.264,78.153
-110.964,78.804
-109.663,78.602
-110.881,78.407
-112.542,78.408
-111.5,78.85
-66.282,18.515
-65.591,18.228
-66.6,17.982
-67.242,18.374
-66.282,18.515
-77.57,18.491
-76.897,18.401
-76.365,18.161
-76.903,17.868
-77.766,17.862
-78.338,18.226
-77.797,18.524
-82.268,23.189
-81.404,23.117
-80.619,23.106
-79.68,22.765
-79.281,22.399
-78.347,22.512
-77.146,21.658
-76.524,21.207
-75.598,21.017
-74.934,20.694
-74.178,20.285
-74.962,19.923
-76.324,19.953
-77.755,19.855
-77.085,20.413
-78.137,20.74
-78.72,21.598
-80.217,21.827
-81.821,22.192
-82.776,22.688
-83.494,22.169
-84.052,21.911
-84.975,21.896
-84.447,22.205
-83.778,22.788
-82.51,23.079
-55.6,51.317
-56.134,50.687
-56.796,49.812
-56.143,50.15
-55.471,49.936
-54.935,49.313
-53.477,49.249
-53.786,48.517
-53.086,48.688
-52.648,47.536
-53.069,46.655
-54.179,46.807
-53.962,47.625
-55.401,46.885
-56.251,47.633
-57.325,47.573
-59.266,47.603
-58.797,48.252
-58.392,49.126
-57.359,50.718
-56.739,51.287
-55.871,51.632
-83.883,65.11
-82.788,64.767
-81.642,64.455
-80.817,64.057
-80.103,63.726
-80.991,63.411
-82.547,63.652
-83.109,64.102
-84.1,63.57
-85.523,63.052
-85.867,63.637
-87.222,63.541
-86.353,64.036
-86.225,64.823
-85.884,65.739
-85.161,65.657
-84.464,65.372
-83.883,65.11
-78.771,72.352
-77.825,72.75
-75.606,72.244
-74.229,71.767
-72.242,71.557
-71.2,70.92
-68.786,70.525
-67.915,70.122
-66.969,69.186
-68.805,68.72
-66.45,68.067
-64.862,67.848
-63.425,66.928
-61.852,66.862
-62.163,66.16
-63.918,64.999
-65.149,65.426
-66.721,66.388
-68.015,66.263
-67.09,65.108
-65.732,64.648
-64.669,63.393
-65.014,62.674
-66.275,62.945
-68.783,63.746
-67.37,62.884
-66.328,62.28
-68.877,62.33
-71.023,62.911
-72.235,63.398
-73.378,64.194
-74.834,64.679
-77.71,64.23
-78.556,64.573
-77.897,65.309
-76.018,65.327
-73.96,65.455
-73.945,66.311
-72.651,67.285
-73.312,68.069
-74.843,68.555
-76.869,68.895
-76.229,69.148
-77.287,69.77
-78.169,69.826
-78.957,70.167
-79.492,69.872
-81.305,69.743
-84.945,69.967
-87.06,70.26
-88.682,70.411
-89.513,70.762
-88.468,71.218
-89.888,71.223
-90.205,72.235
-89.437,73.129
-88.408,73.538
-85.826,73.804
-86.562,73.157
-85.774,72.534
-84.85,73.34
-82.316,73.751
-80.6,72.717
-80.749,72.062
-78.771,72.352
-94.504,74.135
-92.42,74.1
-90.51,73.857
-92.004,72.966
-93.196,72.772
-94.269,72.025
-95.41,72.062
-96.034,72.94
-95.496,73.862
-94.504,74.135
-100.438,72.706
-101.54,73.36
-100.356,73.844
-99.164,73.633
-97.38,73.76
-98.054,72.991
-96.54,72.56
-96.72,71.66
-98.36,71.273
-99.323,71.356
-100.015,71.738
-102.48,72.483
-100.438,72.706
-107.819,75.846
-106.929,76.013
-105.881,75.969
-106.313,75.005
-109.7,74.85
-112.223,74.417
-113.744,74.394
-111.794,75.162
-116.312,75.043
-117.71,75.222
-116.346,76.199
-115.405,76.479
-112.591,76.141
-110.814,75.549
-109.067,75.473
-110.497,76.43
-109.581,76.794
-108.549,76.678
-108.211,76.202
-122.855,76.117
-121.158,76.865
-119.104,77.512
-117.57,77.498
-116.199,77.645
-116.336,76.877
-117.106,76.53
-118.04,76.481
-119.899,76.053
-121.5,75.9
-122.855,76.117
-121.538,74.449
-120.11,74.241
-117.556,74.186
-116.584,73.896
-115.511,73.475
-116.768,73.223
-119.22,72.52
-120.46,71.82
-123.092,70.902
-123.62,71.34
-125.929,71.869
-125.5,72.292
-124.807,73.023
-123.94,73.68
-124.918,74.293
-121.538,74.449
-166.468,60.384
-165.674,60.294
-166.193,59.754
-166.848,59.941
-167.455,60.213
-166.468,60.384
-153.229,57.969
-152.141,57.591
-153.006,57.116
-154.005,56.735
-154.516,56.993
-153.763,57.817
-132.71,54.04
-131.75,54.12
-132.049,52.985
-131.179,52.18
-132.18,52.64
-132.55,53.1
-133.055,53.411
-133.18,54.17
-125.415,49.95
-124.921,49.475
-123.923,49.062
-123.51,48.51
-125.655,48.825
-126.85,49.53
-128.059,49.995
-128.445,50.539
-127.309,50.553
-126.695,50.401
-125.755,50.295
-171.732,63.783
-171.114,63.592
-169.683,63.431
-168.689,63.298
-169.529,62.977
-170.291,63.194
-171.553,63.318
-105.492,79.302
-103.529,79.165
-100.825,78.8
-100.06,78.325
-99.671,77.908
-101.304,78.019
-102.95,78.343
-105.176,78.38
-104.21,78.677
-105.42,78.918
32.947,35.387
34.576,35.672
33.901,35.246
32.98,34.572
32.257,35.103
32.947,35.387
26.29,35.3
24.725,34.92
23.515,35.28
24.247,35.368
25.025,35.425
25.769,35.354
49.544,-12.47
50.057,-13.556
50.217,-14.759
50.377,-15.706
49.861,-15.414
49.863,-16.451
49.499,-17.106
49.436,-17.953
49.042,-19.119
48.549,-20.497
47.931,-22.392
47.548,-23.782
47.096,-24.942
46.282,-25.178
45.41,-25.601
44.834,-25.346
44.04,-24.988
43.764,-24.461
43.698,-23.574
43.346,-22.777
43.254,-22.057
43.433,-21.336
43.896,-20.83
44.374,-20.072
44.232,-18.962
44.043,-18.331
43.963,-17.41
44.312,-16.85
44.447,-16.216
45.503,-15.974
46.312,-15.78
46.882,-15.21
47.705,-14.594
48.005,-14.091
48.845,-13.089
49.195,-12.041
49.544,-12.47
167.217,-15.892
167.845,-16.466
167.18,-16.16
166.793,-15.669
166.629,-14.626
167.108,-14.934
167.27,-15.74
134.21,-6.895
134.113,-6.142
134.5,-5.445
134.725,-6.214
134.21,-6.895
-48.661,-78.047
-46.663,-77.831
-45.155,-78.047
-43.921,-78.478
-43.49,-79.086
-43.333,-80.026
-44.881,-80.34
-46.506,-80.594
-48.386,-80.829
-50.482,-81.025
-52.852,-80.967
-54.164,-80.634
-51.853,-79.948
-50.991,-79.615
-50.365,-79.183
-49.914,-78.811
-49.307,-78.459
-48.661,-78.047
-66.29,-80.256
-64.038,-80.295
-61.883,-80.393
-61.139,-79.981
-60.61,-79.629
-59.572,-80.04
-59.866,-80.55
-62.255,-80.863
-64.488,-80.922
-65.742,-80.589
-66.29,-80.256
-73.916,-71.269
-73.23,-71.152
-72.075,-71.191
-71.781,-70.681
-71.742,-69.506
-71.174,-69.035
-70.253,-68.879
-69.724,-69.251
-69.059,-70.074
-68.726,-70.505
-68.334,-71.406
-68.784,-72.171
-69.959,-72.308
-71.076,-72.504
-72.388,-72.484
-71.898,-72.092
-73.074,-72.229
-74.19,-72.367
-74.954,-72.073
-73.916,-71.269
-102.331,-71.894
-101.704,-71.718
-100.431,-71.855
-98.982,-71.933
-97.885,-72.071
-96.788,-71.953
-96.2,-72.521
-96.984,-72.443
-98.198,-72.482
-99.432,-72.443
-100.783,-72.502
-101.802,-72.306
-102.331,-71.894
-122.622,-73.658
-121.212,-73.501
-119.919,-73.658
-118.724,-73.481
-119.292,-73.834
-120.232,-74.089
-121.623,-74.01
-122.622,-73.658
-127.283,-73.462
-126.558,-73.246
-125.56,-73.481
-124.032,-73.873
-125.912,-73.736
-127.283,-73.462
165.78,-21.08
166.6,-21.7
167.12,-22.16
166.19,-22.13
165.474,-21.68
164.83,-21.15
164.168,-20.445
165.02,-20.46
165.46,-20.8
152.64,-3.66
153.14,-4.5
152.639,-4.176
151.953,-3.462
151.384,-3.035
150.662,-2.741
151.48,-2.78
152.24,-3.24
152.64,-3.66
151.301,-5.841
150.754,-6.084
149.71,-6.317
148.89,-6.026
148.319,-5.747
149.298,-5.584
149.996,-5.026
150.807,-5.456
151.648,-4.757
152.137,-4.149
152.319,-4.868
151.983,-5.478
151.301,-5.841
162.119,-10.483
161.7,-10.82
161.32,-10.205
161.917,-10.447
161.68,-9.6
160.788,-8.918
160.58,-8.32
161.28,-9.12
161.68,-9.6
160.852,-9.873
159.849,-9.794
160.363,-9.4
160.852,-9.873
159.64,-8.02
159.917,-8.538
159.134,-8.114
158.586,-7.755
159.64,-8.02
157.14,-7.022
156.491,-6.766
157.14,-7.022
154.76,-5.34
155.548,-6.201
156.02,-6.54
155.6,-6.92
155.167,-6.536
